velocity
distance
time
acceleration
force
mass
momentum
impulse
friction
centripetal
centrifugal
radius
angular
work
energy
kinetic
potential
gravitational
efficiency
power
radian
angle
torque
inertia
moment
field
orbit
escape
elastic
period
frequency
density
pressure
area
volume
length
buoyancy
viscosity
dynamic
drag
mach
number
reynolds
froude
young
modulus
shear
bulk
surface
tension
solid
expansion
liquid
heat
latent
temprature
ideal
gas
molecular
thermal
conduction
convection
thermodynamic
entropy
maxwell
boltzmann
stefan
wein
entropy
wave
beat
intensity
interference
fringes
index
refraction
snell
critical
image
location
size
spherical
mirror
convex
concave
reflection
internal
total
refraction
coulomb
electric
charge
voltage
current
resistance
capacitance
resistivity
conductivity
magnetic
positive
negative
biot
savart
solenoid
wire
flux
emf
induce
gauss
faraday
ampere
dilation
contraction
relative
photon
doppler
photoelectric
schroedinger
uncertainty
rydberg
half
life
radioactive
vacuum
planck
dirac
permitivitty
space
electron
proton
neutron
atom
avogadro
atmosphere
hubble
light
luminous
specific
celcius
fahrenheit
inductance
illuminance
meter
kilogram
second
ampere
kelvin
mole
candela
hertz
newton
pascal
joule
watt
coulomb
volt
farad
ohm
siemens
weber
tesla
henry
lumen
lux

